recommendationid,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,developer_response,timestamp_dev_responded
83895041,76561198227301000,506,33,12875,116,12875,1609087159,english,"As someone who never play any Sony's developed and published games in the last decade or more. I would say this is a great game. For a game that classified as an ""RPG"" game  this game is not too complex. So anyone can hop in and enjoying the game  the scenery  and the story. No Microtransaction and no 3rd party DRM like Denuvo  etc. It looks like they treat their PC customers better than some big game publisher out there (looking at you Ubisoft  etc). 

Compare the game performance at PC launch vs now  it's like night and day. At PC launch the game performance was so bad  but after several patches now the game run smoother than before.

And Aloy has same energy like reboot version of Lara Croft. Blitzing through their enemies primarily with a bow and arrow and still can win no matter how strong their enemies are. So Lovely. Make me interested in Archery even more.

[h1]Detailed Review :[/h1]
[b]Pros :[/b]
+ Beautiful Graphic and scenery.
+ Beautiful Bushes
+ Fairly good story
+ Good Gameplay
+ Built in Photo Mode
+ And Thank God  no microtranscation at all. And the resources for upgrading is not so scarce. ( Take a note Ubisoft )
+ No Overkill 3rd party DRM like Denuvo  VMProtect  etc ( Again  take a note Ubisoft. It's so weird when one of the console maker not using any multilayer of DRM and treat their PC customers so well and better than Ubisoft )

[b]Cons :[/b]
- Abysmal performance at launch or should I say bad port? . But after several patches  for me the game way lot smoother and better than before.
- Weird camera placement. I can't describe it perfectly  but something like this : Sometimes Aloy would shift from left side of the screen to the right side of the screen and vice versa when you wander around the world like sprinting  etc.

[b]Informational :[/b]
- Because I said earlier ""this game is not too complex""  so there is no multiple ending like most any recent RPG Open World games.

[b]Recommend this game.
8.8/10[/b]",1609671763,1609684966,True,66,1,0.835863649845123291,0,True,False,False,,
82027956,76561198010899517,185,17,7133,0,7133,1605468579,english,"Horizon Zero Dawn - 9/10 

Now all we need is Horizon Forbidden West released on PC!",1607644908,1607644908,True,201,14,0.825247466564178467,0,True,False,False,,
83203585,76561198039098179,646,34,533,109,423,1610108919,english,This is a game that I originally finished on PS4 before the DLC existed  I finished it again on PC  but this time around I also got through the expansion. It's a very good looking game considering its age  and I'm really into the combat where you need to tear off certain parts of the enemies to weaken them  what threw me off a bit where the characters  the lip-sync and animations in dialogue section needs more polish in my opinion. It also ran very poorly on the first months on the PC  but there are already improvements with the patches they released  hopefully if we get the second one it runs better on day one  but I'm glad that's on PC and I hope that we get more PlayStation exclusives next year  the mouse and keyboard controls made aiming a LOT better for me in this game.,1608992163,1608992163,True,29,1,0.755180954933166504,2,True,False,False,,
83068005,76561198121855492,543,12,3645,0,3495,1608885302,english,Brilliant  amazing  adrenaline pumping & tear jerking. Straight in my tops list along with the other greats. Story is original & beautifully crafted. They just nailed everything.,1608844564,1608844564,True,27,0,0.709616422653198242,0,True,False,False,,
83586046,76561198082607580,181,14,564,564,564,1609193474,english,Love this game. If you plan on buying  be sure your Realtek audio is set to Studio or else you would not hear cutscene dialogue.,1609353192,1609353192,True,9,0,0.632438778877258301,0,True,False,False,,
83874460,76561197998268521,253,38,7531,2832,5985,1610154660,english,"This is a wonderful game! 100 hours for 95% completion in ultra hard difficulty felt like 10. 

 The main thing in an epic combat system  where you need to learn each enemy and master your opportunities to exploit its weaknesses and avoid strengths.

It may sound kinda generic  but here it is a rare case when shooting the weak spot is actual and physical  and teared out components will disable something from the opponents. 

It is like the actual Witcher should fight  =)

The only cons to it is that is painfully  obviously observable  that many complicated mechanics and ideas were simplified or cut out  to make the game more accessible for halfwits casual console peasants. 

Alas  alas. If it would be a true PC game  mods could solve it. Maybe  some day.

Anyways  the port is solid  the plot is nice and gameplay is awesome.

8.5/10 with extra bonus for graphics upgrade for the ultimate PC power capabilities.",1609647549,1609647549,True,9,2,0.627043962478637695,0,True,False,False,,
83132765,76561198004625142,368,32,1249,263,855,1609265099,english,"Refunded Cyberpunk 2077 and bought this instead.

No ragrets. Not even a single letter.",1608920342,1608920342,True,28,13,0.599012792110443115,7,True,False,False,,
83390855,76561198065602587,17,2,4115,0,4115,1608100705,english,"I Absolutely fell in love with this game. The cinematics.... I actually cried - like for real  cried. And the choices  I love choices. The map is ABSOLUTELY huge  AND its scaled CORRECTLY. I LOVE the footstep measurement system  it completely fits the theme here. This game covered the little things and didn't leave them to get muddled. THE GRAPHICS  guys! I could seeeeee her PORES! And the animals...when my friend introduced me to this game  he said they were dinosaurs...NOT dinosaurs  guys.. Seriously  the only thing I absolutely hated about this game is that it ended too soon. 

And seeing all the PC bad reviews  I feel the need to address this because I literally did not find one PC good review.

My PC was built by my good friend (so I have honestly no clue what the exact specs are) and he asked me what kind of games I liked to play and built it based on those specs. I had ABSOLUTELY no problem with any glitches in this game. I also should say that I play my PC on a 55"" Plasma screen TV.  So  if you also have a very high-tech rig  you shouldn't experience any of the problems listed in a lot of the comments  I know I didn't. 

All I'm saying is you (generally speaking) probably shouldn't really make bad reviews about playing on PC specifically unless you put up your specs so that others can see exactly what you're working with  remember  reviews here on steam are supposed to be helpful  you don't really help if you aren't specific. At that point  you're just ranting because you're mad that things didn't turn out the way you wanted them to. And for those of you who did have a PC bad review  but indeed posted your specs  this is not for you. Just felt the need to say that.",1609164391,1609166410,True,6,0,0.592160999774932861,0,True,False,False,,
84023342,76561198010287383,2963,162,3884,3884,3884,1609797460,english,"Fighting sci-fi killer robots with sticks and stones like a savage.

What's not to like?",1609797832,1609797832,True,10,2,0.591184735298156738,0,True,False,False,,
83054155,76561199006528261,73,1,1625,0,1625,1606032182,english,The game is beautiful. I was streaming and I had to speed run  but still this game gave me a great gaming experience.  Great Story  Sweet Background Music  Awesome Visuals and the Gameplay is just WOW. I highly recommend this game.,1608830310,1608830310,True,5,0,0.574820578098297119,2,True,False,False,,
83982410,76561198854406724,89,3,1054,0,1054,1600632756,english,"I don't really know what to say about this game. I love the concept with the machines and that Aloy is being an outcast. The intro is exciting and I want to learn more about Aloy and her story. But that feeling slowly fades away after time. The gameplay isn't that great compared to other games from that year. I hate the repetetive ""fetch quests"" who are scattered around the world. It felt more like ""Hi  I lost my hat down there. Can you fetch it for me?"" and ""I also lost my brother behind that building over there. Can you go and get him?"". Plus the characters facial animations are very dull and doesn't show any emotions what so ever. I couldn't bring myself to play the last mission since my interest for the game had sadly faded away.
But for anyone who loves a storydriven game do I recommened it anyway since it is a good experience.
I maybe give this game a 6/10",1609761328,1609761328,True,3,0,0.565217375755310059,0,True,False,False,,
